id,kode_provinsi,nama_provinsi,jabatan,jumlah_pns,satuan,tahun
75,32,JAWA BARAT,PENGAWAS PENYELENGGARAAN URUSAN,10,ORANG,2017
76,32,JAWA BARAT,RINTAH DAERAH,0,ORANG,2017
77,32,JAWA BARAT,PENGAWAS EKOSISTEM HUTAN,3,ORANG,2017
78,32,JAWA BARAT,PENGAWAS ORGANISME PENGGANGGU TUMBUHAN,230,ORANG,2017
79,32,JAWA BARAT,PENYULUH KEHUTANAN,236,ORANG,2017
80,32,JAWA BARAT,PERANTARA HUBUNGAN INDUSTRIAL,3,ORANG,2017
81,32,JAWA BARAT,PERAWAT,263,ORANG,2017
82,32,JAWA BARAT,PERAWAT GIGI,7,ORANG,2017
83,32,JAWA BARAT,PEREKAM MEDIS,13,ORANG,2017
84,32,JAWA BARAT,PERENCANA,58,ORANG,2017
85,32,JAWA BARAT,PENYULUH PERINDUSTRIAN DAN PERDAGANGAN,2,ORANG,2017
86,32,JAWA BARAT,PRANATA KOMPUTER,4,ORANG,2017
87,32,JAWA BARAT,PRANATA LAB.KES,43,ORANG,2017
88,32,JAWA BARAT,PUSTAKAWAN,35,ORANG,2017
89,32,JAWA BARAT,RADIOGRAFER,14,ORANG,2017
90,32,JAWA BARAT,PENYULUH SOSIAL MADYA,2,ORANG,2017
91,32,JAWA BARAT,SANITARIAN,8,ORANG,2017
92,32,JAWA BARAT,PSIKOLOG KLINIS,2,ORANG,2017
93,32,JAWA BARAT,TEKNIK TATA BANGUNAN & PERUMAHAN,1,ORANG,2017
94,32,JAWA BARAT,TEKNIS ELEKTROMEDIS,6,ORANG,2017
95,32,JAWA BARAT,WIDYAISWARA,82,ORANG,2017
96,32,JAWA BARAT,ANALISIS KEPEGAWAIAN,32,ORANG,2020
97,32,JAWA BARAT,APOTEKER,32,ORANG,2020
98,32,JAWA BARAT,ARSIPARIS,98,ORANG,2020
99,32,JAWA BARAT,ASISTEN PENATA KOMPUTER,0,ORANG,2020
100,32,JAWA BARAT,AUDITOR,43,ORANG,2020
101,32,JAWA BARAT,DOKTER,78,ORANG,2020
102,32,JAWA BARAT,DOKTER GIGI,9,ORANG,2020
103,32,JAWA BARAT,FISIOTERAPI,10,ORANG,2020
104,32,JAWA BARAT,GURU,21484,ORANG,2020
105,32,JAWA BARAT,INSTRUKTUR LATIHAN KERJA,13,ORANG,2020
106,32,JAWA BARAT,PARAMEDIK VETERINER,7,ORANG,2020
107,32,JAWA BARAT,NUTRISIONIS,22,ORANG,2020
108,32,JAWA BARAT,PAMONG BUDAYA,22,ORANG,2020
109,32,JAWA BARAT,PEKERJA SOSIAL,53,ORANG,2020
110,32,JAWA BARAT,PENELITI,10,ORANG,2020
111,32,JAWA BARAT,PENERA,0,ORANG,2020
112,32,JAWA BARAT,PENGANTAR KERJA,5,ORANG,2020
113,32,JAWA BARAT,PENGAWAS BENIH TANAMAN,62,ORANG,2020
114,32,JAWA BARAT,PENGAWAS BIBIT TERNAK,1,ORANG,2020
115,32,JAWA BARAT,PENGAWAS KETENAGAKERJAAN,172,ORANG,2020
116,32,JAWA BARAT,PENGAWAS MUTU HASIL PERTANIAN,15,ORANG,2020
117,32,JAWA BARAT,PENGAWAS SEKOLAH,307,ORANG,2020
118,32,JAWA BARAT,PENGENDALI OPT,118,ORANG,2020
119,32,JAWA BARAT,PENGUJI KENDARAAN BERMOTOR,5,ORANG,2020
120,32,JAWA BARAT,PENYULUH KESEHATAN MASYARAKAT,10,ORANG,2020
121,32,JAWA BARAT,PENYULUH PERTANIAN,3,ORANG,2020
122,32,JAWA BARAT,PENGAWAS LINGKUP HIDUP,4,ORANG,2020
123,32,JAWA BARAT,PENGAWAS MUTU PAKAN,6,ORANG,2020
124,32,JAWA BARAT,PENGAWAS PENYELENGGARAAN URUSAN PEMERINTAH DAERAH,0,ORANG,2020
125,32,JAWA BARAT,PENGAWASAN EKOSISTEM HUTAN,12,ORANG,2020
126,32,JAWA BARAT,PENGAWASAN ORGANISME PENGGANGGU TUMBUH,0,ORANG,2020
127,32,JAWA BARAT,PENYULUH KEHUTANAN,229,ORANG,2020
128,32,JAWA BARAT,PERANTARA HUBUNGAN INDUSTRIAL,0,ORANG,2020
129,32,JAWA BARAT,PERAWAT,278,ORANG,2020
130,32,JAWA BARAT,PERAWAT GIGI,6,ORANG,2020
131,32,JAWA BARAT,PEREKAM MEDIS,18,ORANG,2020
132,32,JAWA BARAT,PERENCANA,64,ORANG,2020
133,32,JAWA BARAT,PENYULUH PERINDUSTRIAN DAN PERDAGANGAN,1,ORANG,2020
134,32,JAWA BARAT,PRANATA KOMPUTER,16,ORANG,2020
135,32,JAWA BARAT,PRANATA LAB.KES,44,ORANG,2020
136,32,JAWA BARAT,PUSTAKAWAN,41,ORANG,2020
137,32,JAWA BARAT,RADIOGRAFER,19,ORANG,2020
138,32,JAWA BARAT,PENYULUH SOSIAL MADYA,2,ORANG,2020
139,32,JAWA BARAT,SANITARIAN,12,ORANG,2020
140,32,JAWA BARAT,PSIKOLOG KLINIS,2,ORANG,2020
141,32,JAWA BARAT,TEKNIK TATA BANGUNAN & PERUMAHAN,11,ORANG,2020
142,32,JAWA BARAT,TEKNIS ELEKTROMEDIS,8,ORANG,2020
143,32,JAWA BARAT,WIDYAISWARA,74,ORANG,2020
